time,steps
2018-12-14 00:00:00,0
2018-12-14 00:15:00,0
2018-12-14 00:30:00,0
2018-12-14 00:45:00,0
2018-12-14 01:00:00,0
2018-12-14 01:15:00,0
2018-12-14 01:30:00,0
2018-12-14 01:45:00,0
2018-12-14 02:00:00,0
2018-12-14 02:15:00,0
2018-12-14 02:30:00,0
2018-12-14 02:45:00,0
2018-12-14 03:00:00,0
2018-12-14 03:15:00,0
2018-12-14 03:30:00,0
2018-12-14 03:45:00,0
2018-12-14 04:00:00,0
2018-12-14 04:15:00,0
2018-12-14 04:30:00,0
2018-12-14 04:45:00,0
2018-12-14 05:00:00,0
2018-12-14 05:15:00,0
2018-12-14 05:30:00,0
2018-12-14 05:45:00,93
2018-12-14 06:00:00,527
2018-12-14 06:15:00,176
2018-12-14 06:30:00,342
2018-12-14 06:45:00,496
2018-12-14 07:00:00,87
2018-12-14 07:15:00,17
2018-12-14 07:30:00,70
2018-12-14 07:45:00,42
2018-12-14 08:00:00,37
2018-12-14 08:15:00,46
2018-12-14 08:30:00,40
2018-12-14 08:45:00,20
2018-12-14 09:00:00,7
2018-12-14 09:15:00,66
2018-12-14 09:30:00,273
2018-12-14 09:45:00,99
2018-12-14 10:00:00,20
2018-12-14 10:15:00,0
2018-12-14 10:30:00,51
2018-12-14 10:45:00,67
2018-12-14 11:00:00,110
2018-12-14 11:15:00,0
2018-12-14 11:30:00,0
2018-12-14 11:45:00,28
2018-12-14 12:00:00,0
2018-12-14 12:15:00,0
2018-12-14 12:30:00,123
2018-12-14 12:45:00,9
2018-12-14 13:00:00,108
2018-12-14 13:15:00,23
2018-12-14 13:30:00,11
2018-12-14 13:45:00,0
2018-12-14 14:00:00,77
2018-12-14 14:15:00,0
2018-12-14 14:30:00,0
2018-12-14 14:45:00,0
2018-12-14 15:00:00,0
2018-12-14 15:15:00,0
2018-12-14 15:30:00,0
2018-12-14 15:45:00,140
2018-12-14 16:00:00,0
2018-12-14 16:15:00,168
2018-12-14 16:30:00,34
2018-12-14 16:45:00,144
2018-12-14 17:00:00,153
2018-12-14 17:15:00,377
2018-12-14 17:30:00,6
2018-12-14 17:45:00,7
2018-12-14 18:00:00,100
2018-12-14 18:15:00,0
2018-12-14 18:30:00,18
2018-12-14 18:45:00,159
2018-12-14 19:00:00,398
2018-12-14 19:15:00,863
2018-12-14 19:30:00,60
2018-12-14 19:45:00,35
2018-12-14 20:00:00,63
2018-12-14 20:15:00,0
2018-12-14 20:30:00,0
2018-12-14 20:45:00,0
2018-12-14 21:00:00,0
2018-12-14 21:15:00,0
2018-12-14 21:30:00,0
2018-12-14 21:45:00,0
2018-12-14 22:00:00,0
2018-12-14 22:15:00,0
2018-12-14 22:30:00,0
2018-12-14 22:45:00,0
2018-12-14 23:00:00,0
2018-12-14 23:15:00,0
2018-12-14 23:30:00,0
2018-12-14 23:45:00,0
